studie	sd1	byear	alkohol	rosiner	traethed	farve	boldoje
biologi-bioteknologi	nej	1996	B	uden	70	pink	nej
husdyrvidenskab	ja	2000	C	uden	100	grøn	nej
jordbrugsøkonomi	ja	1993	B	med	75	grøn	nej
husdyrvidenskab	nej	1999	B	med	20	pink	nej
jordbrugsøkonomi	ja	1997	C	uden	35	pink	nej
biologi-bioteknologi	nej	1996	A	uden	53	grøn	nej
naturressourcer	ja	1992	B	uden	30	pink	nej
biologi-bioteknologi	nej	1994	A	uden	90	grøn	nej
jordbrugsøkonomi	ja	1997	B	uden	0	grøn	nej
biologi-bioteknologi	ja	1995	B	uden	50	grøn	nej
naturressourcer	ja	1996	B	uden	50	pink	nej
